X,Y,Z,AX,AY,AZ
-0.099525452,-0.221542358,-0.113136292,0.007812500,-0.010253906,0.922851563
0.037803650,0.129409790,0.008934021,0.002929688,-0.016113281,0.916015625
-0.023231506,-0.007919312,0.039451599,0.001220703,-0.015869141,0.920898438
0.114097595,0.159927368,-0.143653870,0.004638672,-0.010986328,0.904052734
0.007286072,-0.038436890,0.115745544,-0.001464844,-0.019775391,0.909179688
-0.053749084,0.007339478,0.161521912,0.005615234,-0.016601563,0.921875000
-0.007972717,0.022598267,0.176780701,0.004150391,-0.007324219,0.916748047
0.098838806,0.022598267,0.054710388,-0.002685547,-0.017089844,0.918945313
0.083580017,-0.053695679,0.054710388,-0.003173828,-0.009521484,0.921142578
0.037803650,-0.038436890,-0.113136292,0.002929688,-0.014404297,0.911621094
-0.007972717,0.022598267,0.024192810,0.007080078,-0.009277344,0.913818359
0.007286072,-0.007919312,0.024192810,0.001220703,-0.015380859,0.920654297
-0.084266663,-0.175765991,0.161521912,0.002685547,-0.010498047,0.914062500
-0.114784241,-0.023178101,-0.021583557,0.006347656,-0.012451172,0.917236328
0.007286072,-0.145248413,-0.082618713,0.006835938,-0.011718750,0.906494141
0.022544861,-0.084213257,0.039451599,0.010253906,-0.011230469,0.918457031
0.175132751,0.312515259,-0.082618713,0.003173828,-0.005126953,0.907226563
0.114097595,0.175186157,-0.036842346,0.001464844,-0.013183594,0.914794922
-0.069007874,0.037857056,-0.174171448,0.003662109,-0.013916016,0.913574219
-0.038490295,0.037857056,0.085227966,0.003662109,-0.011718750,0.911621094
-0.053749084,0.159927368,0.039451599,0.001953125,-0.017089844,0.916503906
-0.007972717,-0.038436890,-0.052101135,0.005615234,-0.015380859,0.919433594
0.251426697,-0.007919312,-0.067359924,0.003662109,-0.017578125,0.910400391
0.083580017,-0.084213257,0.039451599,0.004150391,-0.012939453,0.924560547
0.144615173,0.037857056,0.115745544,0.006591797,-0.012939453,0.913574219
-0.023231506,0.114151001,-0.113136292,0.000000000,-0.014892578,0.918457031
-0.053749084,-0.023178101,0.008934021,0.005126953,-0.010498047,0.916259766
-0.038490295,0.022598267,-0.006324768,-0.004882813,-0.011474609,0.907470703
0.144615173,-0.068954468,-0.021583557,0.000732422,-0.011962891,0.916992188
0.007286072,0.098892212,0.131004333,0.002929688,-0.013183594,0.906494141
0.007286072,-0.084213257,0.131004333,0.006591797,-0.010986328,0.918945313
0.144615173,0.037857056,-0.067359924,0.000244141,-0.010498047,0.914062500
0.129356384,-0.053695679,-0.006324768,0.000488281,-0.012207031,0.915771484
0.068321228,0.083633423,-0.052101135,0.007568359,-0.014404297,0.907714844
0.053062439,0.114151001,0.115745544,0.001953125,-0.009033203,0.922119141
0.083580017,-0.023178101,0.024192810,0.005859375,-0.014892578,0.913330078
0.053062439,-0.068954468,-0.128395081,0.007080078,-0.012451172,0.920654297
-0.023231506,-0.175765991,0.115745544,0.004394531,-0.007324219,0.910644531
-0.114784241,0.083633423,0.085227966,0.010498047,-0.010498047,0.913574219
-0.130043030,0.068374634,0.069969177,0.006103516,-0.012695313,0.901855469
0.022544861,-0.038436890,-0.082618713,-0.002441406,-0.010742188,0.923828125
-0.038490295,0.037857056,0.115745544,0.009765625,-0.007812500,0.916748047
-0.038490295,0.220962524,-0.082618713,-0.001220703,-0.008300781,0.917480469
0.220909119,0.037857056,-0.052101135,0.005859375,-0.013183594,0.913574219
0.175132751,0.129409790,0.039451599,0.007080078,-0.013427734,0.917480469
-0.069007874,-0.221542358,-0.006324768,0.001708984,-0.016113281,0.908203125
-0.007972717,-0.068954468,-0.052101135,0.001953125,-0.012939453,0.912841797
-0.007972717,0.251480103,-0.082618713,0.002929688,-0.008544922,0.917236328
0.007286072,0.053115845,0.085227966,0.004150391,-0.010498047,0.915039063
0.068321228,-0.282577515,0.115745544,0.003417969,-0.012451172,0.918945313
-0.084266663,0.037857056,-0.021583557,0.005615234,-0.013427734,0.919433594
0.083580017,-0.175765991,-0.021583557,0.000000000,-0.012207031,0.911621094
-0.038490295,-0.007919312,-0.097877502,0.005859375,-0.007324219,0.925537109
-0.191078186,-0.129989624,-0.143653870,-0.001464844,-0.014404297,0.917480469
-0.007972717,-0.053695679,-0.082618713,0.009765625,-0.014160156,0.916015625
-0.084266663,0.007339478,0.008934021,0.003662109,-0.012695313,0.908935547
0.129356384,-0.007919312,0.131004333,-0.002929688,-0.013183594,0.914794922
0.022544861,-0.099472046,0.024192810,0.004394531,-0.017822266,0.913818359
-0.084266663,0.053115845,-0.052101135,0.001464844,-0.011474609,0.906494141
0.114097595,0.129409790,-0.006324768,0.003662109,-0.009765625,0.909423828
0.007286072,0.022598267,0.008934021,0.000000000,-0.011718750,0.912109375
-0.023231506,-0.252059937,-0.097877502,0.001953125,-0.010009766,0.916259766
0.098838806,0.114151001,-0.128395081,0.003662109,-0.006835938,0.915283203
-0.053749084,0.022598267,-0.128395081,0.007568359,-0.008544922,0.919677734
-0.084266663,-0.221542358,-0.097877502,0.007568359,-0.019531250,0.911621094
0.129356384,0.007339478,0.024192810,0.007812500,-0.017578125,0.909667969
0.037803650,0.083633423,0.039451599,0.007080078,-0.016113281,0.906738281
0.114097595,-0.084213257,0.069969177,0.006103516,-0.012451172,0.910400391
-0.023231506,0.022598267,0.008934021,0.002929688,-0.011718750,0.917480469
-0.053749084,0.022598267,-0.189430237,0.004394531,-0.014892578,0.915283203
-0.053749084,0.129409790,-0.128395081,0.001708984,-0.012451172,0.914062500
-0.130043030,-0.023178101,0.161521912,-0.000244141,-0.010009766,0.911132813
-0.007972717,0.190444946,-0.006324768,0.004150391,-0.009277344,0.918212891
0.053062439,0.129409790,0.039451599,0.004882813,-0.013427734,0.920898438
0.114097595,0.022598267,-0.067359924,0.005859375,-0.015136719,0.917724609
-0.053749084,0.053115845,-0.021583557,0.004394531,-0.007812500,0.906982422
0.007286072,-0.145248413,0.008934021,0.002197266,-0.011718750,0.919921875
-0.069007874,0.190444946,0.085227966,0.007568359,-0.016601563,0.916992188
0.114097595,-0.023178101,-0.006324768,0.003173828,-0.010253906,0.922607422
-0.114784241,-0.068954468,0.024192810,0.000488281,-0.020507813,0.918945313
-0.069007874,-0.068954468,-0.158912659,0.002929688,-0.009033203,0.921142578
0.007286072,0.114151001,-0.021583557,0.011962891,-0.013427734,0.906005859
-0.007972717,-0.221542358,-0.067359924,0.002685547,-0.010986328,0.917724609
0.007286072,0.098892212,0.085227966,0.012695313,-0.013427734,0.916259766
-0.007972717,0.068374634,0.008934021,0.004638672,-0.010742188,0.905029297
-0.114784241,0.144668579,0.008934021,0.000488281,-0.014892578,0.922363281
-0.007972717,-0.068954468,-0.006324768,-0.001953125,-0.012207031,0.917236328
-0.114784241,0.053115845,-0.052101135,0.003417969,-0.008789063,0.922851563
-0.007972717,-0.145248413,0.100486755,0.003173828,-0.015625000,0.926269531
0.083580017,0.022598267,-0.036842346,-0.001464844,-0.008789063,0.913330078
-0.038490295,0.159927368,-0.113136292,-0.002685547,-0.013183594,0.917724609
0.053062439,0.129409790,-0.052101135,-0.001708984,-0.010498047,0.910400391
-0.084266663,0.083633423,0.008934021,0.002441406,-0.015380859,0.918457031
-0.053749084,-0.038436890,0.100486755,-0.000732422,-0.015869141,0.915527344
0.098838806,-0.053695679,0.024192810,0.004638672,-0.010498047,0.908691406
0.053062439,-0.068954468,0.024192810,0.001464844,-0.011230469,0.911132813
-0.038490295,0.007339478,0.039451599,-0.003417969,-0.014404297,0.920654297
0.190391541,-0.068954468,-0.113136292,0.005615234,-0.020507813,0.909179688
0.053062439,-0.007919312,0.008934021,-0.005615234,-0.012939453,0.916748047
-0.007972717,0.022598267,0.085227966,0.002685547,-0.013671875,0.925292969
-0.053749084,-0.099472046,-0.021583557,-0.000732422,-0.016357422,0.913818359
-0.175819397,-0.038436890,0.039451599,0.001220703,-0.012207031,0.917968750
0.083580017,-0.007919312,0.008934021,0.004882813,-0.010253906,0.911865234
0.114097595,0.098892212,0.115745544,0.001464844,-0.015136719,0.912841797
0.053062439,0.022598267,-0.052101135,0.003662109,-0.014892578,0.919433594
0.022544861,0.022598267,0.069969177,0.005126953,-0.011474609,0.912353516
0.007286072,0.053115845,0.054710388,0.003417969,-0.016357422,0.917724609
0.068321228,0.068374634,-0.036842346,0.006103516,-0.013916016,0.915283203
0.022544861,-0.252059937,-0.067359924,0.006103516,-0.015869141,0.915527344
-0.038490295,0.266738892,0.024192810,0.004638672,-0.010498047,0.916015625
0.098838806,-0.038436890,-0.097877502,0.004150391,-0.012451172,0.911376953
-0.130043030,-0.145248413,0.069969177,0.006835938,-0.013183594,0.910644531
-0.023231506,0.022598267,0.039451599,0.012695313,-0.010253906,0.922119141
-0.007972717,0.037857056,0.039451599,0.000976563,-0.015869141,0.909912109
-0.023231506,0.037857056,0.131004333,0.002197266,-0.011962891,0.911376953
-0.007972717,-0.099472046,0.054710388,-0.001220703,-0.011962891,0.926025391
0.129356384,-0.038436890,0.069969177,0.004394531,-0.014892578,0.911376953
-0.084266663,0.007339478,-0.082618713,0.000244141,-0.014892578,0.917968750
-0.038490295,-0.129989624,0.115745544,0.004394531,-0.009277344,0.920654297
0.068321228,0.068374634,0.039451599,0.004150391,-0.014404297,0.917236328
0.037803650,-0.160507202,-0.113136292,0.001220703,-0.007812500,0.915283203
0.083580017,0.083633423,-0.006324768,0.007324219,-0.009765625,0.918457031
-0.023231506,0.053115845,0.039451599,0.007324219,-0.012695313,0.916748047
0.007286072,0.144668579,-0.113136292,-0.000976563,-0.013427734,0.914794922
0.114097595,-0.053695679,-0.052101135,0.004638672,-0.011474609,0.908447266
-0.038490295,-0.129989624,-0.021583557,0.005126953,-0.012207031,0.915771484
0.007286072,-0.023178101,-0.021583557,0.004882813,-0.012451172,0.909423828
0.037803650,-0.206283569,0.024192810,0.003662109,-0.014160156,0.921386719
0.175132751,0.022598267,0.054710388,0.002197266,-0.006591797,0.911865234
0.159873962,0.205703735,-0.067359924,0.000488281,-0.010986328,0.911376953
0.083580017,0.022598267,0.024192810,0.002929688,-0.014160156,0.910644531
0.175132751,-0.038436890,-0.082618713,0.004394531,-0.010498047,0.921630859
-0.023231506,-0.068954468,0.115745544,0.007812500,-0.014404297,0.916748047
-0.175819397,0.053115845,0.054710388,0.008789063,-0.012207031,0.914794922
0.053062439,0.098892212,0.115745544,0.006835938,-0.014160156,0.919677734
-0.069007874,0.129409790,0.131004333,0.004638672,-0.017089844,0.912597656
0.037803650,0.114151001,-0.082618713,0.004150391,-0.013916016,0.920410156
-0.267372131,0.266738892,-0.097877502,0.001953125,-0.009765625,0.916748047
0.114097595,-0.053695679,-0.006324768,0.007324219,-0.008544922,0.907958984
